amenity_id,property_id,amenity
A000208,P00051,GYM
A000209,P00051,LIFT
A000210,P00051,SECURITY
A000211,P00051,AIR_CONDITIONING
A000212,P00052,WIFI
A000213,P00052,SWIMMING_POOL
A000214,P00052,CLUBHOUSE
A000215,P00052,GYM
A000216,P00052,AIR_CONDITIONING
A000217,P00052,LIFT
A000218,P00053,GARDEN
A000219,P00053,WIFI
A000220,P00053,CLUBHOUSE
A000221,P00053,PARKING
A000222,P00054,SWIMMING_POOL
A000223,P00054,CLUBHOUSE
A000224,P00054,POWER_BACKUP
A000225,P00055,LIFT
A000226,P00055,SECURITY
A000227,P00056,AIR_CONDITIONING
A000228,P00056,LIFT
A000229,P00056,SECURITY
A000230,P00056,CLUBHOUSE
A000231,P00056,GYM
A000232,P00056,POWER_BACKUP
A000233,P00057,CLUBHOUSE
A000234,P00057,WIFI
A000235,P00058,GYM
A000236,P00058,LIFT
A000237,P00059,LIFT
A000238,P00059,POWER_BACKUP
A000239,P00059,CLUBHOUSE
A000240,P00059,GARDEN
A000241,P00059,SWIMMING_POOL
A000242,P00060,SECURITY
A000243,P00060,GARDEN
A000244,P00060,GYM
A000245,P00061,GARDEN
A000246,P00061,GYM
A000247,P00062,WIFI
A000248,P00062,SECURITY
A000249,P00063,LIFT
A000250,P00063,SWIMMING_POOL
A000251,P00063,GYM
A000252,P00064,PARKING
A000253,P00064,AIR_CONDITIONING
A000254,P00064,GYM
A000255,P00064,SWIMMING_POOL
A000256,P00064,WIFI
A000257,P00064,POWER_BACKUP
A000258,P00065,WIFI
A000259,P00065,PARKING
A000260,P00065,GYM
A000261,P00066,AIR_CONDITIONING
A000262,P00066,GYM
A000263,P00066,SWIMMING_POOL
A000264,P00067,CLUBHOUSE
A000265,P00067,SECURITY
A000266,P00067,WIFI
A000267,P00067,SWIMMING_POOL
A000268,P00067,GARDEN
A000269,P00068,SWIMMING_POOL
A000270,P00068,PARKING
A000271,P00068,AIR_CONDITIONING
A000272,P00068,GARDEN
A000273,P00069,WIFI
A000274,P00069,SWIMMING_POOL
A000275,P00069,POWER_BACKUP
A000276,P00069,AIR_CONDITIONING
A000277,P00069,GARDEN
A000278,P00069,LIFT
A000279,P00070,WIFI
A000280,P00070,GARDEN
A000281,P00070,PARKING
A000282,P00071,AIR_CONDITIONING
A000283,P00071,PARKING
A000284,P00071,GYM
A000285,P00071,LIFT
A000286,P00072,PARKING
A000287,P00072,SWIMMING_POOL
A000288,P00073,POWER_BACKUP
A000289,P00073,GARDEN
A000290,P00073,PARKING
A000291,P00074,SECURITY
A000292,P00074,LIFT
A000293,P00075,LIFT
A000294,P00075,GYM
A000295,P00075,WIFI
A000296,P00076,PARKING
A000297,P00076,POWER_BACKUP
A000298,P00077,LIFT
A000299,P00077,WIFI
A000300,P00077,SWIMMING_POOL
A000301,P00077,SECURITY
A000302,P00078,SECURITY
A000303,P00078,GARDEN
A000304,P00078,LIFT
A000305,P00078,SWIMMING_POOL
A000306,P00078,PARKING
A000307,P00079,POWER_BACKUP
A000308,P00079,SECURITY
A000309,P00080,WIFI
A000310,P00080,SECURITY
A000311,P00080,GARDEN
A000312,P00081,SECURITY
A000313,P00081,SWIMMING_POOL
A000314,P00081,CLUBHOUSE
A000315,P00081,PARKING
A000316,P00082,POWER_BACKUP
A000317,P00082,WIFI
A000318,P00082,PARKING
A000319,P00082,LIFT
A000320,P00082,GYM
A000321,P00083,GARDEN
A000322,P00083,AIR_CONDITIONING
A000323,P00083,GYM
A000324,P00084,SWIMMING_POOL
A000325,P00084,POWER_BACKUP
A000326,P00085,SWIMMING_POOL
A000327,P00085,GYM
A000328,P00085,SECURITY
A000329,P00085,POWER_BACKUP
A000330,P00085,AIR_CONDITIONING
A000331,P00086,GYM
A000332,P00086,GARDEN
A000333,P00086,POWER_BACKUP
A000334,P00086,SECURITY
A000335,P00087,GYM
A000336,P00087,SWIMMING_POOL
A000337,P00087,GARDEN
A000338,P00087,AIR_CONDITIONING
A000339,P00087,LIFT
A000340,P00087,PARKING
A000341,P00088,AIR_CONDITIONING
A000342,P00088,WIFI
A000343,P00088,GYM
A000344,P00088,PARKING
A000345,P00088,SWIMMING_POOL
A000346,P00089,SWIMMING_POOL
A000347,P00089,AIR_CONDITIONING
A000348,P00089,POWER_BACKUP
A000349,P00089,CLUBHOUSE
A000350,P00089,LIFT
A000351,P00089,SECURITY
A000352,P00090,SWIMMING_POOL
A000353,P00090,GYM
A000354,P00090,CLUBHOUSE
A000355,P00091,POWER_BACKUP
A000356,P00091,PARKING
A000357,P00092,PARKING
A000358,P00092,SECURITY
A000359,P00092,AIR_CONDITIONING
A000360,P00092,WIFI
A000361,P00092,LIFT
A000362,P00092,GYM
A000363,P00093,GYM
A000364,P00093,SWIMMING_POOL
A000365,P00093,GARDEN
A000366,P00093,SECURITY
A000367,P00094,AIR_CONDITIONING
A000368,P00094,WIFI
A000369,P00094,PARKING
A000370,P00094,GYM
A000371,P00094,POWER_BACKUP
A000372,P00095,CLUBHOUSE
A000373,P00095,SWIMMING_POOL
A000374,P00096,AIR_CONDITIONING
A000375,P00096,SWIMMING_POOL
A000376,P00096,LIFT
A000377,P00096,GYM
A000378,P00097,LIFT
A000379,P00097,GARDEN
A000380,P00098,SWIMMING_POOL
A000381,P00098,LIFT
A000382,P00098,SECURITY
A000383,P00098,WIFI
A000384,P00099,LIFT
A000385,P00099,SECURITY
A000386,P00099,SWIMMING_POOL
A000387,P00099,CLUBHOUSE
A000388,P00100,SWIMMING_POOL
A000389,P00100,GARDEN
A000390,P00100,SECURITY
A000391,P00101,SECURITY
A000392,P00101,LIFT
A000393,P00101,POWER_BACKUP
A000394,P00101,SWIMMING_POOL
A000395,P00101,GYM
A000396,P00102,GYM
A000397,P00102,SWIMMING_POOL
A000398,P00102,AIR_CONDITIONING
A000399,P00102,LIFT
A000400,P00102,GARDEN
A000401,P00103,AIR_CONDITIONING
A000402,P00103,PARKING
A000403,P00103,WIFI
A000404,P00103,SWIMMING_POOL
A000405,P00104,WIFI
A000406,P00104,PARKING
A000407,P00104,POWER_BACKUP
A000408,P00105,PARKING
A000409,P00105,SECURITY
A000410,P00106,GYM
A000411,P00106,CLUBHOUSE
A000412,P00107,SWIMMING_POOL
A000413,P00107,LIFT
A000414,P00107,SECURITY
A000415,P00107,POWER_BACKUP
A000416,P00107,PARKING
A000417,P00108,CLUBHOUSE
A000418,P00108,SECURITY
A000419,P00109,GARDEN
A000420,P00109,LIFT
A000421,P00110,CLUBHOUSE
A000422,P00110,WIFI
A000423,P00110,PARKING
A000424,P00110,POWER_BACKUP
A000425,P00110,AIR_CONDITIONING
A000426,P00111,SECURITY
A000427,P00111,WIFI
A000428,P00111,POWER_BACKUP
A000429,P00112,LIFT
A000430,P00112,PARKING
A000431,P00112,GYM
A000432,P00113,SWIMMING_POOL
A000433,P00113,GARDEN
A000434,P00113,SECURITY
A000435,P00113,POWER_BACKUP
A000436,P00113,CLUBHOUSE
A000437,P00114,SECURITY
A000438,P00114,AIR_CONDITIONING
A000439,P00114,WIFI
A000440,P00114,PARKING
A000441,P00115,LIFT
A000442,P00115,SECURITY
A000443,P00115,GARDEN
A000444,P00115,WIFI
A000445,P00115,PARKING
A000446,P00115,POWER_BACKUP
A000447,P00116,WIFI
A000448,P00116,AIR_CONDITIONING
A000449,P00116,POWER_BACKUP
A000450,P00117,CLUBHOUSE
A000451,P00117,PARKING
A000452,P00117,AIR_CONDITIONING
A000453,P00117,GYM
A000454,P00117,WIFI
A000455,P00117,POWER_BACKUP
A000456,P00118,LIFT
A000457,P00118,PARKING
A000458,P00119,GARDEN
A000459,P00119,POWER_BACKUP
A000460,P00119,CLUBHOUSE
A000461,P00119,PARKING
A000462,P00119,WIFI
A000463,P00119,SWIMMING_POOL
A000464,P00120,AIR_CONDITIONING
A000465,P00120,SWIMMING_POOL
A000466,P00120,SECURITY
A000467,P00120,POWER_BACKUP
A000468,P00120,CLUBHOUSE
A000469,P00120,GYM
A000470,P00121,SECURITY
A000471,P00121,POWER_BACKUP
A000472,P00121,CLUBHOUSE
A000473,P00122,CLUBHOUSE
A000474,P00122,LIFT
A000475,P00122,POWER_BACKUP
A000476,P00122,SWIMMING_POOL
A000477,P00123,SWIMMING_POOL
A000478,P00123,AIR_CONDITIONING
A000479,P00123,WIFI
A000480,P00124,GARDEN
A000481,P00124,AIR_CONDITIONING
A000482,P00124,CLUBHOUSE
A000483,P00124,LIFT
A000484,P00124,PARKING
A000485,P00125,SWIMMING_POOL
A000486,P00125,GYM
A000487,P00126,POWER_BACKUP
A000488,P00126,AIR_CONDITIONING
A000489,P00126,CLUBHOUSE
A000490,P00126,WIFI
A000491,P00127,SWIMMING_POOL
A000492,P00127,PARKING
A000493,P00127,AIR_CONDITIONING
A000494,P00127,POWER_BACKUP
A000495,P00127,CLUBHOUSE
A000496,P00128,GARDEN
A000497,P00128,SECURITY
A000498,P00128,AIR_CONDITIONING
A000499,P00129,SECURITY
A000500,P00129,WIFI
A000501,P00129,LIFT
A000502,P00129,AIR_CONDITIONING
A000503,P00129,POWER_BACKUP
A000504,P00130,PARKING
A000505,P00130,POWER_BACKUP
A000506,P00130,WIFI
A000507,P00131,AIR_CONDITIONING
A000508,P00131,GYM
A000509,P00131,POWER_BACKUP
A000510,P00132,WIFI
A000511,P00132,SWIMMING_POOL
A000512,P00132,CLUBHOUSE
A000513,P00132,AIR_CONDITIONING
A000514,P00132,LIFT
A000515,P00133,POWER_BACKUP
A000516,P00133,SWIMMING_POOL
A000517,P00133,CLUBHOUSE
A000518,P00134,SWIMMING_POOL
A000519,P00134,AIR_CONDITIONING
A000520,P00134,PARKING
A000521,P00134,GYM
A000522,P00135,LIFT
A000523,P00135,SECURITY
A000524,P00135,AIR_CONDITIONING
A000525,P00136,AIR_CONDITIONING
A000526,P00136,CLUBHOUSE
A000527,P00136,LIFT
A000528,P00137,AIR_CONDITIONING
A000529,P00137,PARKING
A000530,P00137,GYM
A000531,P00138,WIFI
A000532,P00138,GYM
A000533,P00138,POWER_BACKUP
A000534,P00139,POWER_BACKUP
A000535,P00139,GYM
A000536,P00140,PARKING
A000537,P00140,SECURITY
A000538,P00140,GYM
A000539,P00141,PARKING
A000540,P00141,GARDEN
A000541,P00142,POWER_BACKUP
A000542,P00142,GARDEN
A000543,P00143,GARDEN
A000544,P00143,AIR_CONDITIONING
A000545,P00143,POWER_BACKUP
A000546,P00143,GYM
A000547,P00143,SWIMMING_POOL
A000548,P00144,POWER_BACKUP
A000549,P00144,GARDEN
A000550,P00144,GYM
A000551,P00144,PARKING
A000552,P00144,WIFI
A000553,P00144,AIR_CONDITIONING
A000554,P00145,GYM
A000555,P00145,PARKING
A000556,P00145,CLUBHOUSE
A000557,P00145,AIR_CONDITIONING
A000558,P00146,GYM
A000559,P00146,GARDEN
A000560,P00147,CLUBHOUSE
A000561,P00147,SWIMMING_POOL
A000562,P00148,GARDEN
A000563,P00148,SECURITY
A000564,P00148,POWER_BACKUP
A000565,P00149,GARDEN
A000566,P00149,LIFT
A000567,P00149,WIFI
A000568,P00150,AIR_CONDITIONING
A000569,P00150,CLUBHOUSE
A000570,P00151,AIR_CONDITIONING
A000571,P00151,PARKING
A000572,P00151,GARDEN
A000573,P00151,POWER_BACKUP
A000574,P00152,LIFT
A000575,P00152,SWIMMING_POOL
A000576,P00152,POWER_BACKUP
A000577,P00152,CLUBHOUSE
A000578,P00153,CLUBHOUSE
A000579,P00153,PARKING
A000580,P00153,GARDEN
A000581,P00153,WIFI
A000582,P00153,SWIMMING_POOL
A000583,P00154,PARKING
A000584,P00154,AIR_CONDITIONING
A000585,P00155,CLUBHOUSE
A000586,P00155,WIFI
A000587,P00155,POWER_BACKUP
A000588,P00155,GYM
A000589,P00155,SECURITY
A000590,P00155,LIFT
A000591,P00156,AIR_CONDITIONING
A000592,P00156,POWER_BACKUP
A000593,P00156,GARDEN
A000594,P00156,WIFI
A000595,P00156,LIFT
A000596,P00157,GYM
A000597,P00157,POWER_BACKUP
A000598,P00157,SECURITY
A000599,P00158,PARKING
A000600,P00158,WIFI
A000601,P00159,PARKING
A000602,P00159,GYM
A000603,P00160,GYM
A000604,P00160,LIFT
A000605,P00160,POWER_BACKUP
A000606,P00160,SWIMMING_POOL
A000607,P00161,AIR_CONDITIONING
A000608,P00161,PARKING
A000609,P00161,SWIMMING_POOL
A000610,P00162,LIFT
A000611,P00162,GYM
A000612,P00162,CLUBHOUSE
A000613,P00162,WIFI
A000614,P00163,POWER_BACKUP
A000615,P00163,SECURITY
A000616,P00163,LIFT
A000617,P00163,GARDEN
A000618,P00164,SWIMMING_POOL
A000619,P00164,GARDEN
A000620,P00164,CLUBHOUSE
A000621,P00164,LIFT
A000622,P00164,WIFI
A000623,P00165,CLUBHOUSE
A000624,P00165,POWER_BACKUP
A000625,P00165,GARDEN
A000626,P00165,WIFI
A000627,P00166,GARDEN
A000628,P00166,CLUBHOUSE
A000629,P00167,GARDEN
A000630,P00167,PARKING
A000631,P00167,AIR_CONDITIONING
A000632,P00167,POWER_BACKUP
A000633,P00167,WIFI
A000634,P00168,GARDEN
A000635,P00168,SECURITY
A000636,P00168,CLUBHOUSE
A000637,P00168,GYM
A000638,P00169,AIR_CONDITIONING
A000639,P00169,LIFT
A000640,P00169,PARKING
A000641,P00170,CLUBHOUSE
A000642,P00170,GYM
A000643,P00171,PARKING
A000644,P00171,POWER_BACKUP
A000645,P00171,AIR_CONDITIONING
A000646,P00172,SECURITY
A000647,P00172,CLUBHOUSE
A000648,P00173,GYM
A000649,P00173,POWER_BACKUP
A000650,P00174,WIFI
A000651,P00174,GYM
A000652,P00174,GARDEN
A000653,P00174,LIFT
A000654,P00175,SWIMMING_POOL
A000655,P00175,AIR_CONDITIONING
A000656,P00175,POWER_BACKUP
A000657,P00175,CLUBHOUSE
A000658,P00175,WIFI
A000659,P00175,GYM
A000660,P00176,GYM
A000661,P00176,WIFI
A000662,P00177,CLUBHOUSE
A000663,P00177,GARDEN
A000664,P00177,SWIMMING_POOL
A000665,P00178,PARKING
A000666,P00178,CLUBHOUSE
A000667,P00178,GYM
A000668,P00178,AIR_CONDITIONING
A000669,P00178,WIFI
A000670,P00178,SWIMMING_POOL
A000671,P00179,AIR_CONDITIONING
A000672,P00179,GARDEN
A000673,P00179,PARKING
A000674,P00180,SWIMMING_POOL
A000675,P00180,GYM
A000676,P00180,AIR_CONDITIONING
A000677,P00180,WIFI
A000678,P00180,SECURITY
A000679,P00181,GYM
A000680,P00181,AIR_CONDITIONING
A000681,P00181,GARDEN
A000682,P00181,SWIMMING_POOL
A000683,P00181,PARKING
A000684,P00181,SECURITY
A000685,P00182,SWIMMING_POOL
A000686,P00182,GYM
A000687,P00182,WIFI
A000688,P00182,AIR_CONDITIONING
A000689,P00183,SWIMMING_POOL
A000690,P00183,WIFI
A000691,P00183,GARDEN
A000692,P00183,PARKING
A000693,P00184,GARDEN
A000694,P00184,GYM
A000695,P00184,CLUBHOUSE
A000696,P00184,SECURITY
A000697,P00185,POWER_BACKUP
A000698,P00185,SWIMMING_POOL
A000699,P00186,PARKING
A000700,P00186,CLUBHOUSE
A000701,P00186,GARDEN
A000702,P00186,AIR_CONDITIONING
A000703,P00186,SWIMMING_POOL
A000704,P00187,GARDEN
A000705,P00187,GYM
A000706,P00187,AIR_CONDITIONING
A000707,P00187,POWER_BACKUP
A000708,P00187,CLUBHOUSE
A000709,P00187,SWIMMING_POOL
A000710,P00188,GARDEN
A000711,P00188,SECURITY
A000712,P00188,LIFT
A000713,P00188,WIFI
A000714,P00188,AIR_CONDITIONING
A000715,P00189,AIR_CONDITIONING
A000716,P00189,WIFI
A000717,P00189,LIFT
A000718,P00189,CLUBHOUSE
A000719,P00189,GARDEN
A000720,P00190,GYM
A000721,P00190,SECURITY
A000722,P00190,CLUBHOUSE
A000723,P00190,POWER_BACKUP
A000724,P00190,PARKING
A000725,P00190,AIR_CONDITIONING
A000726,P00191,LIFT
A000727,P00191,PARKING
A000728,P00191,SECURITY
A000729,P00191,POWER_BACKUP
A000730,P00191,GYM
A000731,P00192,SWIMMING_POOL
A000732,P00192,CLUBHOUSE
A000733,P00192,SECURITY
A000734,P00192,POWER_BACKUP
A000735,P00192,AIR_CONDITIONING
A000736,P00193,CLUBHOUSE
A000737,P00193,PARKING
A000738,P00193,AIR_CONDITIONING
A000739,P00193,GYM
A000740,P00193,WIFI
A000741,P00193,LIFT
A000742,P00194,WIFI
A000743,P00194,GYM
A000744,P00194,SWIMMING_POOL
A000745,P00194,SECURITY
A000746,P00194,GARDEN
A000747,P00195,POWER_BACKUP
A000748,P00195,GYM
A000749,P00195,LIFT
A000750,P00195,GARDEN
A000751,P00195,CLUBHOUSE
A000752,P00196,CLUBHOUSE
A000753,P00196,PARKING
A000754,P00196,GARDEN
A000755,P00196,WIFI
A000756,P00197,SWIMMING_POOL
A000757,P00197,SECURITY
A000758,P00198,AIR_CONDITIONING
A000759,P00198,SWIMMING_POOL
A000760,P00198,LIFT
A000761,P00198,CLUBHOUSE
A000762,P00198,SECURITY
A000763,P00199,GYM
A000764,P00199,SECURITY
A000765,P00199,PARKING
A000766,P00199,AIR_CONDITIONING
A000767,P00199,POWER_BACKUP
A000768,P00200,LIFT
A000769,P00200,SWIMMING_POOL
A000770,P00200,GARDEN
A000771,P00200,WIFI
A000772,P00200,CLUBHOUSE
A000773,P00201,SWIMMING_POOL
A000774,P00201,CLUBHOUSE
A000775,P00202,GARDEN
A000776,P00202,AIR_CONDITIONING
A000777,P00202,SWIMMING_POOL
A000778,P00202,PARKING
A000779,P00202,POWER_BACKUP
A000780,P00202,GYM
A000781,P00203,AIR_CONDITIONING
A000782,P00203,SECURITY
A000783,P00204,SWIMMING_POOL
A000784,P00204,POWER_BACKUP
A000785,P00204,LIFT
A000786,P00204,AIR_CONDITIONING
A000787,P00205,AIR_CONDITIONING
A000788,P00205,CLUBHOUSE
A000789,P00205,LIFT
A000790,P00205,SECURITY
A000791,P00205,GARDEN
A000792,P00206,AIR_CONDITIONING
A000793,P00206,CLUBHOUSE
A000794,P00206,POWER_BACKUP
A000795,P00207,GYM
A000796,P00207,SECURITY
A000797,P00208,SWIMMING_POOL
A000798,P00208,PARKING
A000799,P00208,LIFT
A000800,P00209,WIFI
A000801,P00209,SECURITY
A000802,P00209,LIFT
A000803,P00209,GARDEN
A000804,P00209,GYM
A000805,P00210,AIR_CONDITIONING
A000806,P00210,LIFT
A000807,P00210,GARDEN
A000808,P00211,SECURITY
A000809,P00211,GARDEN
A000810,P00211,POWER_BACKUP
A000811,P00211,AIR_CONDITIONING
A000812,P00211,GYM
A000813,P00211,SWIMMING_POOL
A000814,P00212,LIFT
A000815,P00212,SWIMMING_POOL
A000816,P00212,WIFI
A000817,P00213,POWER_BACKUP
A000818,P00213,GYM
A000819,P00213,CLUBHOUSE
A000820,P00213,PARKING
A000821,P00213,WIFI
A000822,P00214,AIR_CONDITIONING
A000823,P00214,POWER_BACKUP
A000824,P00215,GYM
A000825,P00215,CLUBHOUSE
A000826,P00215,POWER_BACKUP
A000827,P00215,SWIMMING_POOL
A000828,P00216,GYM
A000829,P00216,SECURITY
A000830,P00216,AIR_CONDITIONING
A000831,P00216,CLUBHOUSE
A000832,P00216,SWIMMING_POOL
A000833,P00216,WIFI
A000834,P00217,AIR_CONDITIONING
A000835,P00217,WIFI
A000836,P00217,CLUBHOUSE
A000837,P00217,GARDEN
A000838,P00217,POWER_BACKUP
A000839,P00217,SWIMMING_POOL
A000840,P00218,WIFI
A000841,P00218,SWIMMING_POOL
A000842,P00218,CLUBHOUSE
A000843,P00218,GARDEN
A000844,P00218,LIFT
A000845,P00218,PARKING
A000846,P00219,GYM
A000847,P00219,WIFI
A000848,P00219,LIFT
A000849,P00219,SECURITY
A000850,P00220,GYM
A000851,P00220,POWER_BACKUP
A000852,P00220,SWIMMING_POOL
A000853,P00220,AIR_CONDITIONING
A000854,P00220,SECURITY
A000855,P00220,LIFT
A000856,P00221,SWIMMING_POOL
A000857,P00221,PARKING
A000858,P00221,GARDEN
A000859,P00222,GARDEN
A000860,P00222,GYM
A000861,P00222,LIFT
A000862,P00222,AIR_CONDITIONING
A000863,P00222,SWIMMING_POOL
A000864,P00223,GYM
A000865,P00223,SWIMMING_POOL
A000866,P00223,WIFI
A000867,P00224,GYM
A000868,P00224,LIFT
A000869,P00225,GYM
A000870,P00225,POWER_BACKUP
A000871,P00225,LIFT
A000872,P00225,CLUBHOUSE
A000873,P00225,WIFI
A000874,P00226,LIFT
A000875,P00226,PARKING
A000876,P00226,GYM
A000877,P00227,LIFT
A000878,P00227,WIFI
A000879,P00227,SWIMMING_POOL
A000880,P00228,GARDEN
A000881,P00228,PARKING
A000882,P00228,GYM
A000883,P00228,LIFT
A000884,P00228,SWIMMING_POOL
A000885,P00229,GARDEN
A000886,P00229,GYM
A000887,P00229,POWER_BACKUP
A000888,P00229,LIFT
A000889,P00229,CLUBHOUSE
A000890,P00230,WIFI
A000891,P00230,CLUBHOUSE
A000892,P00230,LIFT
A000893,P00230,SWIMMING_POOL
A000894,P00230,SECURITY
A000895,P00230,AIR_CONDITIONING
A000896,P00231,GYM
A000897,P00231,AIR_CONDITIONING
A000898,P00231,LIFT
A000899,P00231,GARDEN
A000900,P00231,CLUBHOUSE
A000901,P00231,SECURITY
