tenant_id,property_id,preferred_city,property_city,max_budget,monthly_rent,budget_gap,min_bedrooms,property_bedrooms,city_match,budget_match,bedroom_match,furnishing_match,parking_match,amenity_match,match_score,match_label,approx_distance_km,distance_match,property_type_match,budget_score,recommendation_score
T05791,P00241,Hyderabad,Hyderabad,100463,12000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04182,P00252,Hyderabad,Hyderabad,39838,11000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02933,P00266,Chennai,Chennai,80995,6500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01438,P00283,Kolkata,Kolkata,39036,13000,0.0,3,4,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03421,P00297,Hyderabad,Hyderabad,20473,5500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01540,P00299,Delhi,Delhi,52539,20000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02607,P00302,Kolkata,Kolkata,56838,7000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03516,P00302,Kolkata,Kolkata,47539,7000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00424,P00320,Delhi,Delhi,74792,15000,0.0,1,4,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04565,P00320,Delhi,Delhi,61520,15000,0.0,3,4,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03890,P00327,Chennai,Chennai,71506,25000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00122,P00336,Chennai,Chennai,57135,25000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05059,P00346,Bangalore,Bangalore,50005,8000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03096,P00349,Chennai,Chennai,98506,8200,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02150,P00363,Chennai,Chennai,104760,16000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01601,P00366,Hyderabad,Hyderabad,14101,13000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02984,P00375,Chennai,Chennai,86688,7000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05989,P00379,Bangalore,Bangalore,44934,13000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03635,P00388,Hyderabad,Hyderabad,96239,10500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03206,P00392,Chennai,Chennai,69804,16000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05075,P00400,Delhi,Delhi,110149,12000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05031,P00403,Mumbai,Mumbai,95691,40000,0.0,1,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04792,P00417,Delhi,Delhi,95962,30000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05891,P00427,Mumbai,Mumbai,56331,50000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00848,P00438,Kolkata,Kolkata,24191,6000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00628,P00453,Chennai,Chennai,100172,25000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02970,P00454,Chennai,Chennai,44334,18000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03167,P00475,Delhi,Delhi,47151,42000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01041,P00496,Mumbai,Mumbai,72945,40000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01604,P00515,Bangalore,Bangalore,27846,10000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02709,P00520,Chennai,Chennai,87196,10000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02526,P00521,Hyderabad,Hyderabad,36790,25000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05373,P00522,Mumbai,Mumbai,52647,13000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01511,P00542,Hyderabad,Hyderabad,65970,14000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03860,P00554,Chennai,Chennai,30674,10000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04971,P00554,Chennai,Chennai,75219,10000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00282,P00573,Delhi,Delhi,24699,12500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01999,P00573,Delhi,Delhi,59387,12500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05491,P00592,Hyderabad,Hyderabad,71858,18000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03333,P00606,Chennai,Chennai,71576,15000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05145,P00611,Mumbai,Mumbai,25174,16000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04931,P00621,Bangalore,Bangalore,28454,24000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00620,P00628,Kolkata,Kolkata,95949,6000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03657,P00639,Hyderabad,Hyderabad,57277,55000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05365,P00697,Chennai,Chennai,102517,25000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04797,P00699,Bangalore,Bangalore,40146,7000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02923,P00712,Hyderabad,Hyderabad,78256,11000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03346,P00713,Bangalore,Bangalore,51353,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03195,P00721,Bangalore,Bangalore,95423,35000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02078,P00726,Kolkata,Kolkata,56038,18000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00551,P00736,Hyderabad,Hyderabad,65273,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00950,P00757,Chennai,Chennai,62226,30000,0.0,1,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04321,P00759,Delhi,Delhi,102254,11000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04826,P00759,Delhi,Delhi,75428,11000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03349,P00761,Delhi,Delhi,68577,13000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00698,P00765,Mumbai,Mumbai,106968,35000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04858,P00766,Hyderabad,Hyderabad,105943,25000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02903,P00796,Bangalore,Bangalore,67343,14000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03611,P00812,Chennai,Chennai,35938,13000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05486,P00815,Bangalore,Bangalore,113346,10000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03725,P00818,Bangalore,Bangalore,115644,22000,0.0,1,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04735,P00818,Bangalore,Bangalore,42431,22000,0.0,1,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05644,P00818,Bangalore,Bangalore,102575,22000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00141,P00842,Bangalore,Bangalore,104435,50000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00659,P00848,Bangalore,Bangalore,112048,22000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00691,P00855,Hyderabad,Hyderabad,42158,15000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03684,P00869,Kolkata,Kolkata,82760,4500,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00397,P00898,Delhi,Delhi,60960,13000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02292,P00918,Kolkata,Kolkata,111717,8000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01617,P00925,Chennai,Chennai,91160,4200,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04875,P00937,Bangalore,Bangalore,82565,8900,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04017,P00945,Hyderabad,Hyderabad,36988,7000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02578,P00949,Bangalore,Bangalore,101315,8500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00192,P00951,Chennai,Chennai,62601,35000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02654,P00953,Kolkata,Kolkata,58335,6500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04750,P00957,Hyderabad,Hyderabad,42648,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04537,P00983,Delhi,Delhi,95016,16500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02177,P00997,Chennai,Chennai,42301,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04412,P01003,Kolkata,Kolkata,80755,11000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05624,P01003,Kolkata,Kolkata,91553,11000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05177,P01022,Kolkata,Kolkata,65039,40000,0.0,1,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01777,P01061,Hyderabad,Hyderabad,26698,15000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04644,P01079,Bangalore,Bangalore,61753,11000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01653,P01097,Chennai,Chennai,86812,6500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04478,P01150,Kolkata,Kolkata,18861,7000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00851,P01193,Chennai,Chennai,112569,18000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04488,P01209,Mumbai,Mumbai,91386,36000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01244,P01219,Delhi,Delhi,61410,16000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01882,P01226,Chennai,Chennai,77217,15000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04010,P01237,Hyderabad,Hyderabad,38950,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02811,P01243,Hyderabad,Hyderabad,73995,12000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04695,P01289,Mumbai,Mumbai,107505,95000,0.0,2,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03433,P01297,Mumbai,Mumbai,85363,25000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03770,P01336,Hyderabad,Hyderabad,84976,9000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01586,P01338,Chennai,Chennai,45554,10000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01788,P01338,Chennai,Chennai,81545,10000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00728,P01346,Bangalore,Bangalore,48930,43000,0.0,2,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05071,P01346,Bangalore,Bangalore,56329,43000,0.0,1,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01470,P01401,Bangalore,Bangalore,111365,75000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01647,P01405,Chennai,Chennai,81817,20000,0.0,3,4,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01162,P01422,Bangalore,Bangalore,50970,9000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05436,P01429,Chennai,Chennai,72242,18000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00172,P01439,Mumbai,Mumbai,21179,16000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04308,P01460,Chennai,Chennai,51615,27500,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01930,P01489,Mumbai,Mumbai,100909,10000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00094,P01504,Bangalore,Bangalore,19667,15000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00921,P01505,Chennai,Chennai,89038,10000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05662,P01510,Hyderabad,Hyderabad,29375,9000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02771,P01512,Chennai,Chennai,97670,16000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03535,P01515,Kolkata,Kolkata,14055,6000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00139,P01517,Bangalore,Bangalore,87484,9000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00026,P01527,Hyderabad,Hyderabad,39186,16500,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03214,P01530,Delhi,Delhi,90796,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01504,P01541,Bangalore,Bangalore,45161,18000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05804,P01560,Bangalore,Bangalore,77889,30000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00426,P01564,Mumbai,Mumbai,116930,37000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00919,P01574,Delhi,Delhi,113869,24000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05370,P01585,Delhi,Delhi,53992,25000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02940,P01590,Chennai,Chennai,68411,8000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00170,P01609,Chennai,Chennai,76883,14000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04242,P01616,Hyderabad,Hyderabad,79041,7500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02229,P01627,Delhi,Delhi,80063,22000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00077,P01636,Chennai,Chennai,60235,10000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03227,P01637,Delhi,Delhi,26638,15000,0.0,1,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00671,P01646,Bangalore,Bangalore,115316,13000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02048,P01660,Delhi,Delhi,54361,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00174,P01673,Chennai,Chennai,94001,75000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04366,P01681,Mumbai,Mumbai,59237,8500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02504,P01684,Mumbai,Mumbai,100858,32000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04235,P01706,Delhi,Delhi,101667,14000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01560,P01730,Mumbai,Mumbai,119796,50000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02457,P01740,Delhi,Delhi,61847,8000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03197,P01763,Kolkata,Kolkata,16539,5000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00245,P01799,Bangalore,Bangalore,111648,22000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04887,P01836,Delhi,Delhi,27068,5000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00879,P01843,Kolkata,Kolkata,40851,6500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05646,P01860,Kolkata,Kolkata,116331,16000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01884,P01864,Mumbai,Mumbai,71264,20000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05571,P01872,Bangalore,Bangalore,98908,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03596,P01885,Mumbai,Mumbai,114594,90000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00806,P01887,Mumbai,Mumbai,104328,47000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03799,P01901,Chennai,Chennai,18946,15000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02297,P01907,Hyderabad,Hyderabad,49237,6500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02229,P01930,Delhi,Delhi,80063,27000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04489,P01932,Bangalore,Bangalore,71316,17500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00102,P01935,Kolkata,Kolkata,90703,25000,0.0,2,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03404,P01944,Hyderabad,Hyderabad,50487,22000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02666,P01953,Hyderabad,Hyderabad,12042,5500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01221,P01962,Kolkata,Kolkata,57217,20000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00887,P01971,Mumbai,Mumbai,57134,33000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03993,P01975,Hyderabad,Hyderabad,116957,9500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00642,P01990,Hyderabad,Hyderabad,94480,15000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02902,P01992,Mumbai,Mumbai,59603,45000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04436,P01993,Bangalore,Bangalore,15401,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01255,P02001,Mumbai,Mumbai,39547,25000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00081,P02003,Mumbai,Mumbai,90992,20000,0.0,2,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01394,P02003,Mumbai,Mumbai,48675,20000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03364,P02011,Kolkata,Kolkata,100945,4500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01584,P02013,Hyderabad,Hyderabad,26441,7500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02033,P02026,Bangalore,Bangalore,56164,4000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01228,P02074,Mumbai,Mumbai,37883,32000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02466,P02086,Kolkata,Kolkata,49824,8000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05995,P02091,Bangalore,Bangalore,29162,15000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01469,P02092,Hyderabad,Hyderabad,24825,9500,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02941,P02111,Chennai,Chennai,88166,7600,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04709,P02119,Kolkata,Kolkata,105732,7000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03447,P02127,Delhi,Delhi,108995,50000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00981,P02162,Mumbai,Mumbai,90793,47000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04655,P02164,Hyderabad,Hyderabad,90779,12000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05053,P02169,Hyderabad,Hyderabad,38542,15500,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01449,P02176,Kolkata,Kolkata,83210,22500,0.0,3,5,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05489,P02176,Kolkata,Kolkata,39757,22500,0.0,3,5,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01973,P02177,Bangalore,Bangalore,19905,4000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01393,P02189,Mumbai,Mumbai,83091,32000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02032,P02212,Bangalore,Bangalore,105247,4800,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T01098,P02216,Hyderabad,Hyderabad,100179,12000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03459,P02218,Hyderabad,Hyderabad,96176,12000,0.0,3,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03112,P02221,Bangalore,Bangalore,70831,9500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04407,P02236,Delhi,Delhi,90144,10000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T02741,P02244,Delhi,Delhi,38878,25000,0.0,1,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05059,P02265,Bangalore,Bangalore,50005,8500,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T05337,P02269,Delhi,Delhi,49933,22000,0.0,2,2,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03469,P02277,Mumbai,Mumbai,105186,32000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T04075,P02277,Mumbai,Mumbai,108452,32000,0.0,1,1,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T03387,P02278,Bangalore,Bangalore,29400,27000,0.0,2,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
T00591,P02285,Chennai,Chennai,33021,17000,0.0,2,3,1,1,1,1,1,1,0.88,1,2.0,1,1,1.0,100.0
