tenant_id,snapshot_month,monthly_income,historical_invoice_count,late_payment_count,missed_payment_count,avg_days_late,max_days_late,historical_outstanding,rent_to_income_ratio,payment_completion_ratio,risk_label,data_split,late_payment_count_delta,missed_payment_count_delta,recent_late_payment_count_3m,recent_missed_payment_count_3m,recent_avg_days_late_3m,recent_payment_completion_ratio_3m,recent_late_payment_count_6m,recent_missed_payment_count_6m,recent_avg_days_late_6m,recent_payment_completion_ratio_6m,late_payment_trend,missed_payment_trend,payment_completion_trend
T00300,2024-02-01,71962,2.0,0.0,0,0.0,0,0.0,0.4669130930213168,1.0,1,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
T00303,2024-02-01,128363,5.0,2.0,3,3.0,5,39000.0,0.4869004308095012,0.4,0,train,2.0,3.0,2.0,3.0,3.0,0.4,2.0,3.0,3.0,0.4,0.0,0.0,0.0
T00383,2024-02-01,75031,5.0,3.0,0,6.333333333333333,10,0.0,0.7996694699524197,1.0,1,train,0.0,0.0,3.0,0.0,6.333333333333333,1.0,3.0,0.0,6.333333333333333,1.0,0.0,0.0,0.0
T00407,2024-02-01,188970,2.0,1.0,1,2.0,2,25000.0,0.129650209027888,0.5,1,train,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,0.5,0.0,0.0,0.0
T00455,2024-02-01,127959,3.0,0.0,1,0.0,0,49900.0,0.772122320430763,0.6666666666666666,0,train,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
T00511,2024-02-01,141701,2.0,1.0,0,15.0,15,0.0,0.042342679303604,1.0,1,train,1.0,0.0,1.0,0.0,15.0,1.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0
T00513,2024-02-01,119256,2.0,1.0,0,3.0,3,0.0,0.1257798349768565,1.0,0,train,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
T00601,2024-02-01,212105,2.0,0.0,0,0.0,0,0.0,0.0669479738808608,1.0,0,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
T00630,2024-02-01,60305,3.0,1.0,1,3.0,3,7500.0,0.3482298316889147,0.6666666666666666,0,train,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,1.0,3.0,0.6666666666666666,0.0,0.0,0.0
T00721,2024-02-01,68590,3.0,1.0,1,2.0,2,9000.0,0.3717743111240705,0.6666666666666666,1,train,1.0,1.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,2.0,0.6666666666666666,0.0,0.0,0.0
T00843,2024-02-01,192214,2.0,0.0,1,0.0,0,9100.0,0.08948359640817,0.5,0,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T00862,2024-02-01,29626,3.0,3.0,0,4.0,10,0.0,1.9543644096401809,1.0,1,train,3.0,0.0,3.0,0.0,4.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0
T00904,2024-02-01,216229,2.0,2.0,0,5.5,10,0.0,0.0832450781347552,1.0,0,train,2.0,0.0,2.0,0.0,5.5,1.0,2.0,0.0,5.5,1.0,0.0,0.0,0.0
T00996,2024-02-01,122029,3.0,0.0,2,0.0,0,18000.0,0.20896672102533,0.3333333333333333,1,train,0.0,2.0,0.0,2.0,0.0,0.3333333333333333,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,0.0
T01090,2024-02-01,206551,2.0,1.0,1,1.0,1,20700.0,0.1955933401435965,0.5,0,train,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0
T01126,2024-02-01,124549,3.0,1.0,2,1.0,1,39000.0,0.457651205549623,0.3333333333333333,0,train,1.0,2.0,1.0,2.0,1.0,0.3333333333333333,1.0,2.0,1.0,0.3333333333333333,0.0,0.0,0.0
T01447,2024-02-01,90226,2.0,2.0,0,6.0,10,0.0,0.2482654667169108,1.0,1,train,2.0,0.0,2.0,0.0,6.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0
T01518,2024-02-01,212634,2.0,1.0,1,7.0,7,27500.0,0.2539575044442563,0.5,0,train,1.0,1.0,1.0,1.0,7.0,0.5,1.0,1.0,7.0,0.5,0.0,0.0,0.0
T01616,2024-02-01,132186,2.0,1.0,1,7.0,7,82400.0,1.239162997594299,0.5,1,train,1.0,1.0,1.0,1.0,7.0,0.5,1.0,1.0,7.0,0.5,0.0,0.0,0.0
T01945,2024-02-01,196817,2.0,0.0,1,0.0,0,29500.0,0.2946899912101088,0.5,1,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T01983,2024-02-01,61011,2.0,0.0,1,0.0,0,17200.0,0.5474422645096786,0.5,0,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T02038,2024-02-01,223856,2.0,1.0,0,2.0,2,0.0,0.098277464084054,1.0,0,train,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
T02075,2024-02-01,73938,3.0,2.0,0,5.5,10,0.0,0.2975465930915091,1.0,0,train,1.0,0.0,2.0,0.0,3.25,1.0,2.0,0.0,3.25,1.0,1.0,0.0,0.0
T02171,2024-02-01,91187,6.0,5.0,1,5.0,7,15500.0,0.9869827935999648,0.8333333333333334,1,train,5.0,1.0,5.0,1.0,5.0,0.8333333333333334,5.0,1.0,5.0,0.8333333333333334,0.0,0.0,0.0
T02303,2024-02-01,135005,2.0,2.0,0,3.5,5,0.0,0.2622125106477538,1.0,1,train,2.0,0.0,2.0,0.0,3.5,1.0,2.0,0.0,3.5,1.0,0.0,0.0,0.0
T02348,2024-02-01,144279,2.0,1.0,1,10.0,10,2000.0,0.0207930468051483,0.5,0,train,1.0,1.0,1.0,1.0,10.0,0.5,1.0,1.0,10.0,0.5,0.0,0.0,0.0
T02442,2024-02-01,112084,2.0,1.0,1,2.0,2,12400.0,0.2123407444416687,0.5,0,train,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,0.5,0.0,0.0,0.0
T02455,2024-02-01,76810,2.0,2.0,0,2.0,2,0.0,1.5466736102070042,1.0,1,train,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
T02576,2024-02-01,44279,2.0,0.0,1,0.0,0,42500.0,1.8970618125973937,0.5,0,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T02594,2024-02-01,128749,3.0,1.0,0,1.0,1,0.0,1.0765132156366264,1.0,0,train,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
T02727,2024-02-01,53521,3.0,2.0,0,5.0,7,0.0,0.6558173427252854,1.0,0,train,2.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0
T02734,2024-02-01,240042,3.0,1.0,2,1.0,1,35200.0,0.2137126002949483,0.3333333333333333,1,train,1.0,2.0,1.0,2.0,1.0,0.3333333333333333,1.0,2.0,1.0,0.3333333333333333,0.0,0.0,0.0
T02755,2024-02-01,103178,2.0,0.0,1,0.0,0,11000.0,0.2035317606466495,0.5,0,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T02791,2024-02-01,184635,2.0,0.0,1,0.0,0,18200.0,0.1917296287269477,0.5,0,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T02920,2024-02-01,152132,2.0,0.0,0,0.0,0,0.0,0.5442641916230642,1.0,0,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
T03018,2024-02-01,61138,2.0,0.0,1,0.0,0,209200.0,6.827177859923452,0.5,0,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T03038,2024-02-01,64653,2.0,0.0,0,0.0,0,0.0,4.33081218195598,1.0,0,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
T03052,2024-02-01,224065,2.0,1.0,1,5.0,5,6000.0,0.0245464485751902,0.5,0,train,1.0,1.0,1.0,1.0,5.0,0.5,1.0,1.0,5.0,0.5,0.0,0.0,0.0
T03160,2024-02-01,132325,2.0,1.0,1,10.0,10,12200.0,0.1768373323257132,0.5,1,train,1.0,1.0,1.0,1.0,10.0,0.5,1.0,1.0,10.0,0.5,0.0,0.0,0.0
T03180,2024-02-01,166904,3.0,2.0,0,3.5,5,0.0,0.790873795714902,1.0,0,train,2.0,0.0,2.0,0.0,3.5,1.0,2.0,0.0,3.5,1.0,0.0,0.0,0.0
T03327,2024-02-01,233440,4.0,4.0,0,6.0,10,0.0,0.1876285126799177,1.0,0,train,2.0,0.0,4.0,0.0,6.25,1.0,4.0,0.0,6.25,1.0,2.0,0.0,0.0
T03514,2024-02-01,195943,2.0,0.0,0,0.0,0,0.0,0.0612423000566491,1.0,1,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
T03577,2024-02-01,118087,4.0,1.0,2,10.0,10,53000.0,0.4403532988389916,0.5,0,train,0.0,2.0,1.0,2.0,10.0,0.75,1.0,2.0,10.0,0.75,0.0,2.0,-0.5
T03745,2024-02-01,91527,3.0,2.0,0,7.5,10,0.0,0.1638860664066341,1.0,0,train,2.0,0.0,2.0,0.0,7.5,1.0,2.0,0.0,7.5,1.0,0.0,0.0,0.0
T03796,2024-02-01,146685,2.0,2.0,0,4.5,7,0.0,0.0852166206496915,1.0,0,train,2.0,0.0,2.0,0.0,4.5,1.0,2.0,0.0,4.5,1.0,0.0,0.0,0.0
T03916,2024-02-01,75186,2.0,2.0,0,4.0,5,0.0,0.7980209081477935,1.0,0,train,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0
T03990,2024-02-01,186170,5.0,1.0,0,2.0,2,0.0,0.1450287371756996,1.0,0,train,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
T04002,2024-02-01,182233,3.0,1.0,1,5.0,5,15300.0,0.2436441259266982,0.6666666666666666,0,train,1.0,1.0,1.0,1.0,5.0,0.6666666666666666,1.0,1.0,5.0,0.6666666666666666,0.0,0.0,0.0
T04128,2024-02-01,233840,2.0,0.0,1,0.0,0,110200.0,0.4691241874786178,0.5,0,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T04197,2024-02-01,63951,2.0,2.0,0,4.0,7,0.0,0.2580100389360604,1.0,0,train,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0
T04438,2024-02-01,50045,2.0,1.0,0,15.0,15,0.0,0.6074532920371666,1.0,0,train,1.0,0.0,1.0,0.0,15.0,1.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0
T04502,2024-02-01,95955,3.0,3.0,0,2.333333333333333,3,0.0,0.2834662081183888,1.0,1,train,3.0,0.0,3.0,0.0,2.333333333333333,1.0,3.0,0.0,2.333333333333333,1.0,0.0,0.0,0.0
T04594,2024-02-01,208344,2.0,0.0,2,0.0,0,24200.0,0.0556771493299543,0.0,0,train,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
T04792,2024-02-01,61083,2.0,2.0,0,1.5,2,0.0,0.4452957451336706,1.0,0,train,2.0,0.0,2.0,0.0,1.5,1.0,2.0,0.0,1.5,1.0,0.0,0.0,0.0
T04950,2024-02-01,156672,2.0,1.0,1,3.0,3,14000.0,0.1723345588235294,0.5,0,train,1.0,1.0,1.0,1.0,3.0,0.5,1.0,1.0,3.0,0.5,0.0,0.0,0.0
T04986,2024-02-01,192701,3.0,1.0,0,1.0,1,0.0,0.1349240533261373,1.0,0,train,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
T04999,2024-02-01,177183,2.0,1.0,1,7.0,7,170500.0,1.9189199866804376,0.5,0,train,1.0,1.0,1.0,1.0,7.0,0.5,1.0,1.0,7.0,0.5,0.0,0.0,0.0
T05013,2024-02-01,70335,2.0,2.0,0,4.0,7,0.0,1.054951304471458,1.0,1,train,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0
T05042,2024-02-01,113687,2.0,1.0,1,7.0,7,7500.0,0.1231451265316175,0.5,0,train,1.0,1.0,1.0,1.0,7.0,0.5,1.0,1.0,7.0,0.5,0.0,0.0,0.0
T05054,2024-02-01,32618,4.0,2.0,0,4.0,5,0.0,1.0852903304923662,1.0,0,train,1.0,0.0,2.0,0.0,3.5,1.0,2.0,0.0,3.5,1.0,1.0,0.0,0.0
T05076,2024-02-01,244775,2.0,2.0,0,2.5,3,0.0,0.0498416913491982,1.0,0,train,2.0,0.0,2.0,0.0,2.5,1.0,2.0,0.0,2.5,1.0,0.0,0.0,0.0
T05110,2024-02-01,70097,2.0,0.0,1,0.0,0,9400.0,0.253933834543561,0.5,1,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T05234,2024-02-01,54655,2.0,1.0,0,7.0,7,0.0,1.3429695361815022,1.0,1,train,1.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0
T05262,2024-02-01,144007,6.0,4.0,0,2.75,5,0.0,0.4603942863888561,1.0,1,train,1.0,0.0,4.0,0.0,3.0416666666666665,1.0,4.0,0.0,3.0416666666666665,1.0,1.0,0.0,0.0
T05296,2024-02-01,143037,2.0,1.0,1,7.0,7,12500.0,0.0838943769793829,0.5,0,train,1.0,1.0,1.0,1.0,7.0,0.5,1.0,1.0,7.0,0.5,0.0,0.0,0.0
T05374,2024-02-01,40013,2.0,2.0,0,1.5,2,0.0,0.3948716667083198,1.0,0,train,2.0,0.0,2.0,0.0,1.5,1.0,2.0,0.0,1.5,1.0,0.0,0.0,0.0
T05435,2024-02-01,70721,2.0,1.0,1,10.0,10,13200.0,0.3591578173385557,0.5,1,train,1.0,1.0,1.0,1.0,10.0,0.5,1.0,1.0,10.0,0.5,0.0,0.0,0.0
T05517,2024-02-01,117470,3.0,0.0,2,0.0,0,31600.0,0.130246020260492,0.3333333333333333,1,train,0.0,0.0,0.0,2.0,0.0,0.16666666666666666,0.0,2.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333
T05530,2024-02-01,172687,2.0,1.0,1,1.0,1,12900.0,0.1436124317406637,0.5,0,train,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0
T05552,2024-02-01,182792,2.0,1.0,0,2.0,2,0.0,0.0984725808569302,1.0,1,train,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
T05791,2024-02-01,178496,2.0,0.0,1,0.0,0,45500.0,0.5042129795625673,0.5,1,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T05892,2024-02-01,101218,2.0,1.0,0,2.0,2,0.0,0.8397715821296607,1.0,1,train,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
T05912,2024-02-01,83659,2.0,0.0,1,0.0,0,50500.0,1.195328655613861,0.5,1,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T00015,2024-03-01,198991,2.0,1.0,1,1.0,1,12500.0,0.1206084697297867,0.5,1,train,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0
T00032,2024-03-01,181480,3.0,2.0,0,2.5,3,0.0,0.0914701344500771,1.0,0,train,1.0,0.0,2.0,0.0,2.75,1.0,2.0,0.0,2.75,1.0,1.0,0.0,0.0
T00053,2024-03-01,216410,4.0,2.0,2,10.0,15,85000.0,0.3881521186636477,0.5,0,train,1.0,1.0,2.0,2.0,7.5,0.5,2.0,2.0,7.5,0.5,1.0,1.0,0.0
T00062,2024-03-01,66620,2.0,0.0,2,0.0,0,29000.0,0.4202942059441609,0.0,1,train,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
T00137,2024-03-01,211842,3.0,0.0,2,0.0,0,35000.0,0.0802484870799935,0.3333333333333333,0,train,0.0,0.0,0.0,2.0,0.0,0.16666666666666666,0.0,2.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333
T00241,2024-03-01,181433,3.0,0.0,1,0.0,0,12500.0,0.0661401178396432,0.6666666666666666,1,train,0.0,0.0,0.0,1.0,0.0,0.5833333333333333,0.0,1.0,0.0,0.5833333333333333,0.0,0.0,0.16666666666666663
T00246,2024-03-01,120792,4.0,2.0,0,5.5,10,0.0,1.4073779720511292,1.0,1,train,1.0,0.0,2.0,0.0,7.75,1.0,2.0,0.0,7.75,1.0,1.0,0.0,0.0
T00250,2024-03-01,129597,4.0,1.0,2,3.0,3,55400.0,0.6975470111190846,0.5,1,train,1.0,2.0,1.0,2.0,3.0,0.5,1.0,2.0,3.0,0.5,0.0,0.0,0.0
T00288,2024-03-01,169706,3.0,3.0,0,3.6666666666666665,7,0.0,0.3181973530694259,1.0,1,train,3.0,0.0,3.0,0.0,3.6666666666666665,1.0,3.0,0.0,3.6666666666666665,1.0,0.0,0.0,0.0
T00300,2024-03-01,71962,3.0,1.0,0,1.0,1,0.0,0.2334565465106584,1.0,1,train,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0
T00303,2024-03-01,128363,11.0,5.0,4,8.2,30,52000.0,1.0742971105380834,0.6363636363636364,0,train,3.0,1.0,5.0,4.0,5.6,0.5181818181818182,5.0,4.0,5.6,0.5181818181818182,3.0,1.0,0.23636363636363633
T00353,2024-03-01,183723,2.0,1.0,0,1.0,1,0.0,0.5758669301067367,1.0,0,train,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
T00383,2024-03-01,75031,6.0,4.0,0,7.25,10,0.0,0.3998347349762098,1.0,0,train,1.0,0.0,4.0,0.0,6.638888888888888,1.0,4.0,0.0,6.638888888888888,1.0,1.0,0.0,0.0
T00407,2024-03-01,188970,3.0,2.0,1,3.5,5,25000.0,0.129650209027888,0.6666666666666666,1,train,1.0,0.0,2.0,1.0,2.75,0.5833333333333333,2.0,1.0,2.75,0.5833333333333333,1.0,0.0,0.16666666666666663
T00424,2024-03-01,25303,2.0,1.0,1,2.0,2,27500.0,1.067067146188199,0.5,1,train,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,0.5,0.0,0.0,0.0
T00455,2024-03-01,127959,5.0,1.0,1,1.0,1,49900.0,0.772122320430763,0.8,0,train,1.0,0.0,1.0,1.0,0.5,0.7333333333333334,1.0,1.0,0.5,0.7333333333333334,1.0,0.0,0.13333333333333341
T00505,2024-03-01,235682,2.0,1.0,0,2.0,2,0.0,0.0190935243251499,1.0,1,train,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
T00511,2024-03-01,141701,3.0,1.0,1,15.0,15,6500.0,0.042342679303604,0.6666666666666666,1,train,0.0,1.0,1.0,1.0,15.0,0.8333333333333333,1.0,1.0,15.0,0.8333333333333333,0.0,1.0,-0.33333333333333337
T00513,2024-03-01,119256,4.0,2.0,0,3.0,3,0.0,0.1257798349768565,1.0,0,train,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0
T00563,2024-03-01,77978,2.0,1.0,1,1.0,1,19700.0,0.4924465874990382,0.5,1,train,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0
T00601,2024-03-01,212105,4.0,2.0,0,4.5,7,0.0,0.0669479738808608,1.0,1,train,2.0,0.0,2.0,0.0,2.25,1.0,2.0,0.0,2.25,1.0,2.0,0.0,0.0
T00614,2024-03-01,56353,2.0,1.0,1,3.0,3,9700.0,0.1632566145546821,0.5,0,train,1.0,1.0,1.0,1.0,3.0,0.5,1.0,1.0,3.0,0.5,0.0,0.0,0.0
T00621,2024-03-01,243898,2.0,1.0,0,10.0,10,0.0,0.041000746213581,1.0,0,train,1.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0
T00630,2024-03-01,60305,5.0,2.0,1,2.0,3,7500.0,0.2321532211259431,0.8,1,train,1.0,0.0,2.0,1.0,2.5,0.7333333333333334,2.0,1.0,2.5,0.7333333333333334,1.0,0.0,0.13333333333333341
T00721,2024-03-01,68590,5.0,3.0,1,4.666666666666667,10,9000.0,0.2478495407493803,0.8,0,train,2.0,0.0,3.0,1.0,3.3333333333333335,0.7333333333333334,3.0,1.0,3.3333333333333335,0.7333333333333334,2.0,0.0,0.13333333333333341
T00778,2024-03-01,240478,2.0,0.0,1,0.0,0,17500.0,0.0706925373630851,0.5,0,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T00784,2024-03-01,50970,2.0,1.0,1,15.0,15,15500.0,0.2942907592701589,0.5,1,train,1.0,1.0,1.0,1.0,15.0,0.5,1.0,1.0,15.0,0.5,0.0,0.0,0.0
T00795,2024-03-01,129461,2.0,1.0,0,5.0,5,0.0,0.1158650095395524,1.0,0,train,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
T00843,2024-03-01,192214,4.0,1.0,1,2.0,2,9100.0,0.08948359640817,0.75,0,train,1.0,0.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,0.0,0.25
T00847,2024-03-01,214681,2.0,1.0,0,10.0,10,0.0,0.1015460147847271,1.0,0,train,1.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0
T00862,2024-03-01,29626,3.0,3.0,0,4.0,10,0.0,0.0,1.0,1,train,0.0,0.0,3.0,0.0,4.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0
T00888,2024-03-01,144366,2.0,1.0,1,3.0,3,27700.0,0.1884100134380671,0.5,1,train,1.0,1.0,1.0,1.0,3.0,0.5,1.0,1.0,3.0,0.5,0.0,0.0,0.0
T00904,2024-03-01,216229,4.0,3.0,0,4.333333333333333,10,0.0,0.0832450781347552,1.0,0,train,1.0,0.0,3.0,0.0,4.916666666666666,1.0,3.0,0.0,4.916666666666666,1.0,1.0,0.0,0.0
T00957,2024-03-01,219622,3.0,1.0,1,2.0,2,24900.0,0.2221999617524656,0.6666666666666666,0,train,1.0,1.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,2.0,0.6666666666666666,0.0,0.0,0.0
T00996,2024-03-01,122029,5.0,2.0,2,5.5,10,18000.0,0.13931114735022,0.6,1,train,2.0,0.0,2.0,2.0,2.75,0.4666666666666667,2.0,2.0,2.75,0.4666666666666667,2.0,0.0,0.26666666666666666
T01029,2024-03-01,174081,3.0,3.0,0,4.666666666666667,10,0.0,2.068002826270529,1.0,1,train,3.0,0.0,3.0,0.0,4.666666666666667,1.0,3.0,0.0,4.666666666666667,1.0,0.0,0.0,0.0
T01081,2024-03-01,51295,2.0,2.0,0,1.0,1,0.0,0.2339409299151964,1.0,0,train,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
T01090,2024-03-01,206551,3.0,1.0,1,1.0,1,20700.0,0.0977966700717982,0.6666666666666666,1,train,0.0,0.0,1.0,1.0,1.0,0.5833333333333333,1.0,1.0,1.0,0.5833333333333333,0.0,0.0,0.16666666666666663
T01114,2024-03-01,138227,2.0,0.0,1,0.0,0,107900.0,0.7769827891801168,0.5,1,train,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
T01126,2024-03-01,124549,7.0,2.0,3,1.5,2,58500.0,0.6102016073994974,0.5714285714285714,0,train,1.0,1.0,2.0,3.0,1.25,0.45238095238095233,2.0,3.0,1.25,0.45238095238095233,1.0,1.0,0.23809523809523808
