tenant_id,property_id,preferred_city,property_city,max_budget,monthly_rent,budget_gap,min_bedrooms,property_bedrooms,city_match,budget_match,bedroom_match,furnishing_match,parking_match,amenity_match,match_score,match_label,approx_distance_km,distance_match
T00019,P01520,Bangalore,Mumbai,63025,51000,0,3,2,0,1,0,0,1,0,0.32,0,845.9,0
T00020,P05882,Bangalore,Chennai,37575,15300,0,1,2,0,1,1,0,1,0,0.5,0,293.5,0
T00020,P01585,Bangalore,Delhi,37575,25000,0,1,2,0,1,1,0,1,0,0.5,0,1741.5,0
T00020,P00041,Bangalore,Bangalore,37575,9500,0,1,1,1,1,1,0,1,1,0.88,1,4.8,1
T00021,P09892,Mumbai,Mumbai,87513,64700,0,2,3,1,1,1,0,1,1,0.88,1,9.4,0
T00021,P05636,Mumbai,Delhi,87513,5800,0,2,1,0,1,0,0,1,1,0.4,0,1150.6,0
T00021,P00161,Mumbai,Mumbai,87513,83000,0,2,3,1,1,1,0,1,1,0.88,1,8.7,0
T00022,P04334,Mumbai,Bangalore,94380,15000,0,1,4,0,1,1,0,0,0,0.4,0,852.6,0
T00022,P00321,Mumbai,Mumbai,94380,60000,0,1,2,1,1,1,0,1,1,0.88,1,3.8,1
T00022,P00712,Mumbai,Hyderabad,94380,11000,0,1,2,0,1,1,0,1,0,0.5,0,622.1,0
T00023,P07528,Chennai,Chennai,114979,206200,91221.0,1,4,1,0,1,0,0,0,0.48,0,6.8,1
T00023,P08786,Chennai,Mumbai,114979,27600,0,1,1,0,1,1,0,0,0,0.4,0,1039.5,0
T00023,P01001,Chennai,Chennai,114979,9500,0,1,2,1,1,1,0,1,1,0.88,1,11.6,1
T00024,P02046,Chennai,Chennai,95970,15000,0,1,2,1,1,1,0,1,0,0.8,1,6.7,0
T00024,P02081,Chennai,Chennai,95970,20000,0,1,3,1,1,1,0,1,1,0.88,1,10.8,0
T00024,P06202,Chennai,Mumbai,95970,18100,0,1,1,0,1,1,0,1,1,0.58,0,1037.2,0
T00025,P01292,Chennai,Hyderabad,36797,6500,0,2,1,0,1,0,0,0,1,0.3,0,522.0,0
T00025,P01001,Chennai,Chennai,36797,9500,0,2,2,1,1,1,0,1,1,0.88,1,11.7,1
T00025,P09045,Chennai,Hyderabad,36797,38100,1303.0,2,3,0,0,1,0,1,0,0.28,0,523.8,0
T00026,P05926,Hyderabad,Mumbai,39186,72800,33614.0,3,2,0,0,0,0,1,1,0.18,0,627.9,0
T00026,P02361,Hyderabad,Hyderabad,39186,20000,0,3,6,1,1,1,0,1,1,0.88,1,6.8,1
T00026,P04804,Hyderabad,Hyderabad,39186,11500,0,3,2,1,1,0,0,1,0,0.62,0,7.5,1
T00027,P03151,Bangalore,Mumbai,70713,150000,79287.0,3,3,0,0,1,0,1,0,0.28,0,850.5,0
T00027,P01921,Bangalore,Bangalore,70713,54000,0,3,3,1,1,1,0,1,1,0.88,1,6.1,1
T00027,P09460,Bangalore,Chennai,70713,14500,0,3,3,0,1,1,0,1,0,0.5,0,297.6,0
T00028,P00751,Mumbai,Mumbai,102951,140000,37049.0,3,3,1,0,1,0,1,1,0.66,1,7.6,1
T00028,P03641,Mumbai,Mumbai,102951,75000,0,3,3,1,1,1,0,1,1,0.88,1,7.8,1
T00028,P01140,Mumbai,Chennai,102951,15000,0,3,2,0,1,0,0,1,0,0.32,0,1038.0,0
T00029,P03734,Hyderabad,Delhi,45929,9000,0,3,2,0,1,0,0,0,0,0.22,0,1263.1,0
T00029,P02361,Hyderabad,Hyderabad,45929,20000,0,3,6,1,1,1,0,1,1,0.88,1,4.1,1
T00029,P04742,Hyderabad,Hyderabad,45929,5000,0,3,1,1,1,0,0,0,0,0.52,0,9.8,1
T00030,P01308,Delhi,Hyderabad,69927,20000,0,2,2,0,1,1,0,1,0,0.5,0,1257.5,0
T00030,P03815,Delhi,Chennai,69927,23000,0,2,2,0,1,1,0,0,0,0.4,0,1759.7,0
T00030,P01481,Delhi,Delhi,69927,6000,0,2,2,1,1,1,0,1,1,0.88,1,4.5,1
T00031,P06228,Hyderabad,Mumbai,69648,65200,0,3,3,0,1,1,0,1,0,0.5,0,624.6,0
T00031,P00961,Hyderabad,Hyderabad,69648,18000,0,3,3,1,1,1,0,1,1,0.88,1,10.8,1
T00031,P01655,Hyderabad,Mumbai,69648,75000,5352.0,3,1,0,0,0,0,1,0,0.1,0,624.3,0
T00032,P04555,Delhi,Mumbai,18675,55000,36325.0,2,2,0,0,1,0,1,1,0.36,0,1149.6,0
T00032,P07429,Delhi,Delhi,18675,7000,0,2,1,1,1,0,0,1,1,0.7,1,9.1,1
T00032,P03201,Delhi,Delhi,18675,13000,0,2,2,1,1,1,0,1,1,0.88,1,8.6,1
T00033,P00241,Hyderabad,Hyderabad,80055,12000,0,1,2,1,1,1,0,1,1,0.88,1,2.0,1
T00033,P02665,Hyderabad,Delhi,80055,23000,0,1,2,0,1,1,0,1,0,0.5,0,1254.5,0
T00033,P05978,Hyderabad,Chennai,80055,7100,0,1,2,0,1,1,0,1,1,0.58,0,520.3,0
T00034,P05821,Bangalore,Kolkata,32608,4300,0,1,1,0,1,1,0,1,1,0.58,0,1565.1,0
T00034,P00041,Bangalore,Bangalore,32608,9500,0,1,1,1,1,1,0,1,1,0.88,1,6.5,1
T00034,P06066,Bangalore,Hyderabad,32608,9700,0,1,2,0,1,1,0,1,1,0.58,0,501.9,0
T00035,P03433,Hyderabad,Mumbai,90392,35000,0,1,1,0,1,1,0,1,0,0.5,0,629.7,0
T00035,P00601,Hyderabad,Hyderabad,90392,16000,0,1,2,1,1,1,0,1,1,0.88,1,2.2,1
T00035,P04375,Hyderabad,Mumbai,90392,85000,0,1,1,0,1,1,0,1,0,0.5,0,623.0,0
T00036,P01170,Chennai,Mumbai,68621,40000,0,3,2,0,1,0,0,1,0,0.32,0,1039.9,0
T00036,P09981,Chennai,Mumbai,68621,92900,24279.0,3,2,0,0,0,0,1,0,0.1,0,1034.7,0
T00036,P04361,Chennai,Chennai,68621,20000,0,3,3,1,1,1,0,1,1,0.88,1,3.1,1
T00037,P01201,Mumbai,Mumbai,59523,22000,0,1,1,1,1,1,0,1,1,0.88,1,5.1,1
T00037,P02804,Mumbai,Bangalore,59523,14000,0,1,1,0,1,1,0,1,1,0.58,0,846.5,0
T00037,P08752,Mumbai,Bangalore,59523,21400,0,1,2,0,1,1,0,1,0,0.5,0,849.0,0
T00038,P03481,Kolkata,Kolkata,112035,15000,0,3,3,1,1,1,0,1,1,0.88,1,9.5,0
T00038,P04011,Kolkata,Bangalore,112035,17600,0,3,2,0,1,0,0,1,0,0.32,0,1565.5,0
T00038,P02678,Kolkata,Kolkata,112035,11000,0,3,2,1,1,0,0,1,1,0.7,1,3.5,1
T00039,P06217,Chennai,Kolkata,58133,6300,0,1,2,0,1,1,0,1,0,0.5,0,1358.1,0
T00039,P07574,Chennai,Hyderabad,58133,18900,0,1,3,0,1,1,0,1,0,0.5,0,520.9,0
T00039,P01041,Chennai,Chennai,58133,5000,0,1,1,1,1,1,0,1,1,0.88,1,4.9,1
T00040,P09126,Bangalore,Chennai,64409,13000,0,1,3,0,1,1,0,1,0,0.5,0,297.7,0
T00040,P00081,Bangalore,Bangalore,64409,16000,0,1,2,1,1,1,0,1,1,0.88,1,4.2,1
T00040,P04423,Bangalore,Kolkata,64409,12000,0,1,2,0,1,1,0,1,1,0.58,0,1566.9,0
T00041,P03599,Kolkata,Bangalore,62766,11000,0,1,2,0,1,1,0,0,1,0.48,0,1569.2,0
T00041,P01161,Kolkata,Kolkata,62766,4600,0,1,2,1,1,1,0,1,1,0.88,1,6.8,1
T00041,P05314,Kolkata,Kolkata,62766,5700,0,1,1,1,1,1,0,0,0,0.7,1,12.0,1
T00042,P00917,Hyderabad,Chennai,90319,32500,0,1,3,0,1,1,0,1,1,0.58,0,524.3,0
T00042,P00601,Hyderabad,Hyderabad,90319,16000,0,1,2,1,1,1,0,1,1,0.88,1,11.9,0
T00042,P03753,Hyderabad,Hyderabad,90319,13000,0,1,2,1,1,1,0,1,0,0.8,1,2.7,1
T00043,P05169,Bangalore,Mumbai,101425,208000,106575.0,1,2,0,0,1,0,1,0,0.28,0,848.5,0
T00043,P00081,Bangalore,Bangalore,101425,16000,0,1,2,1,1,1,0,1,1,0.88,1,7.6,1
T00043,P00526,Bangalore,Mumbai,101425,25000,0,1,1,0,1,1,0,0,0,0.4,0,847.3,0
T00044,P06573,Bangalore,Hyderabad,114723,13900,0,2,2,0,1,1,0,1,0,0.5,0,503.1,0
T00044,P04387,Bangalore,Delhi,114723,17500,0,2,2,0,1,1,0,1,1,0.58,0,1745.9,0
T00044,P00081,Bangalore,Bangalore,114723,16000,0,2,2,1,1,1,0,1,1,0.88,1,7.9,0
T00045,P01085,Chennai,Mumbai,78865,55000,0,3,2,0,1,0,0,1,0,0.32,0,1038.2,0
T00045,P02081,Chennai,Chennai,78865,20000,0,3,3,1,1,1,0,1,1,0.88,1,4.6,1
T00045,P03457,Chennai,Hyderabad,78865,12000,0,3,2,0,1,0,0,1,0,0.32,0,522.0,0
T00046,P05156,Mumbai,Kolkata,59240,11000,0,1,3,0,1,1,0,1,0,0.5,0,1654.4,0
T00046,P02801,Mumbai,Mumbai,59240,7500,0,1,1,1,1,1,0,1,1,0.88,1,2.9,1
T00046,P09293,Mumbai,Hyderabad,59240,17700,0,1,3,0,1,1,0,1,1,0.58,0,621.8,0
T00047,P09241,Bangalore,Bangalore,13856,11400,0,1,2,1,1,1,0,1,1,0.88,1,9.6,0
T00047,P08180,Bangalore,Chennai,13856,18200,4344.0,1,2,0,0,1,0,1,0,0.28,0,291.0,0
T00047,P03484,Bangalore,Bangalore,13856,40000,26144.0,1,3,1,0,1,0,0,1,0.56,0,9.1,1
T00048,P01121,Kolkata,Kolkata,50575,20000,0,3,3,1,1,1,0,1,1,0.88,1,11.8,1
T00048,P06483,Kolkata,Chennai,50575,16400,0,3,2,0,1,0,0,1,1,0.4,0,1363.8,0
T00048,P07518,Kolkata,Bangalore,50575,32600,0,3,2,0,1,0,0,1,1,0.4,0,1566.3,0
T00049,P01121,Kolkata,Kolkata,116437,20000,0,3,3,1,1,1,0,1,1,0.88,1,9.3,1
T00049,P04340,Kolkata,Hyderabad,116437,8000,0,3,2,0,1,0,0,0,1,0.3,0,1186.5,0
T00049,P02341,Kolkata,Mumbai,116437,45000,0,3,2,0,1,0,0,0,0,0.22,0,1661.8,0
T00050,P04041,Hyderabad,Chennai,103638,18000,0,2,2,0,1,1,0,1,1,0.58,0,522.4,0
T00050,P02361,Hyderabad,Hyderabad,103638,20000,0,2,6,1,1,1,0,1,1,0.88,1,4.2,1
T00050,P02288,Hyderabad,Kolkata,103638,17500,0,2,2,0,1,1,0,0,1,0.48,0,1184.9,0
T00051,P09198,Chennai,Mumbai,60964,218400,157436.0,3,4,0,0,1,0,1,1,0.36,0,1035.0,0
T00051,P05601,Chennai,Chennai,60964,14000,0,3,3,1,1,1,0,1,1,0.88,1,7.3,1
T00051,P08831,Chennai,Bangalore,60964,15600,0,3,2,0,1,0,0,1,0,0.32,0,296.2,0
T00052,P04305,Bangalore,Bangalore,89075,190000,100925.0,1,4,1,0,1,0,1,1,0.66,1,10.7,1
T00052,P00481,Bangalore,Bangalore,89075,75000,0,1,4,1,1,1,0,1,1,0.88,1,6.6,1
T00052,P09578,Bangalore,Delhi,89075,5300,0,1,1,0,1,1,0,1,0,0.5,0,1741.6,0
T00053,P09561,Bangalore,Mumbai,110111,20000,0,2,1,0,1,0,0,1,1,0.4,0,852.2,0
T00053,P00081,Bangalore,Bangalore,110111,16000,0,2,2,1,1,1,0,1,1,0.88,1,8.0,1
T00053,P07020,Bangalore,Chennai,110111,28700,0,2,3,0,1,1,0,1,0,0.5,0,294.4,0
T00054,P06544,Hyderabad,Hyderabad,16932,19700,2768.0,1,3,1,0,1,0,1,0,0.58,0,6.1,1
T00054,P05931,Hyderabad,Bangalore,16932,10500,0,1,2,0,1,1,0,1,1,0.58,0,506.0,0
T00054,P00201,Hyderabad,Hyderabad,16932,5500,0,1,1,1,1,1,0,1,1,0.88,1,4.7,1
T00055,P03481,Kolkata,Kolkata,16125,15000,0,3,3,1,1,1,0,1,0,0.8,1,9.9,0
T00055,P02267,Kolkata,Delhi,16125,22000,5875.0,3,2,0,0,0,0,0,1,0.08,0,1304.4,0
T00055,P03594,Kolkata,Bangalore,16125,30000,13875.0,3,3,0,0,1,0,0,0,0.18,0,1567.4,0
T00056,P03481,Kolkata,Kolkata,91752,15000,0,3,3,1,1,1,0,1,1,0.88,1,9.3,0
T00056,P08086,Kolkata,Kolkata,91752,4800,0,3,2,1,1,0,0,1,0,0.62,0,5.2,1
T00056,P08349,Kolkata,Delhi,91752,40800,0,3,3,0,1,1,0,1,0,0.5,0,1303.8,0
T00057,P00772,Chennai,Kolkata,57870,10000,0,2,2,0,1,1,0,1,1,0.58,0,1360.3,0
T00057,P01001,Chennai,Chennai,57870,9500,0,2,2,1,1,1,0,1,1,0.88,1,7.9,0
T00057,P01490,Chennai,Chennai,57870,7500,0,2,2,1,1,1,0,0,0,0.7,1,11.4,0
T00058,P01797,Hyderabad,Chennai,65819,25000,0,1,3,0,1,1,0,1,0,0.5,0,517.0,0
T00058,P00201,Hyderabad,Hyderabad,65819,5500,0,1,1,1,1,1,0,1,1,0.88,1,4.9,1
T00058,P02505,Hyderabad,Delhi,65819,7000,0,1,2,0,1,1,0,1,0,0.5,0,1261.9,0
T00059,P06917,Mumbai,Mumbai,90601,245000,154399.0,1,2,1,0,1,0,1,0,0.58,0,5.3,1
T00059,P04601,Mumbai,Mumbai,90601,44000,0,1,2,1,1,1,0,1,1,0.88,1,7.2,1
T00059,P02622,Mumbai,Mumbai,90601,120000,29399.0,1,3,1,0,1,0,1,0,0.58,0,11.6,0
T00060,P09772,Delhi,Hyderabad,119460,14500,0,2,2,0,1,1,0,1,1,0.58,0,1254.6,0
T00060,P00441,Delhi,Delhi,119460,12000,0,2,2,1,1,1,0,1,1,0.88,1,2.8,1
T00060,P01041,Delhi,Chennai,119460,5000,0,2,1,0,1,0,0,1,0,0.32,0,1757.9,0
T00061,P01521,Chennai,Chennai,90743,19000,0,1,2,1,1,1,0,1,1,0.88,1,4.6,1
T00061,P06253,Chennai,Mumbai,90743,26200,0,1,1,0,1,1,0,1,0,0.5,0,1035.2,0
T00061,P06305,Chennai,Delhi,90743,10100,0,1,2,0,1,1,0,1,0,0.5,0,1756.0,0
T00062,P09764,Bangalore,Bangalore,14579,20100,5521.0,3,2,1,0,0,0,1,1,0.48,0,3.0,1
T00062,P00041,Bangalore,Bangalore,14579,9500,0,3,1,1,1,0,0,1,1,0.7,1,5.8,1
T00062,P07669,Bangalore,Bangalore,14579,35800,21221.0,3,2,1,0,0,0,1,0,0.4,0,7.2,1
T00063,P08670,Chennai,Mumbai,79796,173700,93904.0,2,4,0,0,1,0,1,0,0.28,0,1040.3,0
T00063,P01001,Chennai,Chennai,79796,9500,0,2,2,1,1,1,0,1,1,0.88,1,8.0,1
T00063,P04120,Chennai,Mumbai,79796,75000,0,2,2,0,1,1,0,1,0,0.5,0,1041.6,0
T00064,P00189,Delhi,Kolkata,21228,2200,0,3,2,0,1,0,0,1,1,0.4,0,1307.2,0
T00064,P05561,Delhi,Delhi,21228,16500,0,3,4,1,1,1,0,1,1,0.88,1,4.3,0
T00064,P09065,Delhi,Chennai,21228,15300,0,3,2,0,1,0,0,1,0,0.32,0,1760.8,0
T00065,P01521,Chennai,Chennai,42654,19000,0,2,2,1,1,1,0,1,1,0.88,1,9.2,1
T00065,P08798,Chennai,Hyderabad,42654,7700,0,2,2,0,1,1,0,1,1,0.58,0,521.9,0
T00065,P01877,Chennai,Hyderabad,42654,45000,2346.0,2,3,0,0,1,0,1,0,0.28,0,523.6,0
T00066,P04372,Mumbai,Bangalore,29302,20000,0,2,2,0,1,1,0,1,1,0.58,0,850.2,0
T00066,P05574,Mumbai,Mumbai,29302,43100,13798.0,2,2,1,0,1,0,1,0,0.58,0,4.8,1
T00066,P06441,Mumbai,Mumbai,29302,25400,0,2,2,1,1,1,0,1,1,0.88,1,11.0,1
T00067,P00001,Mumbai,Mumbai,48395,25000,0,3,1,1,1,0,0,1,1,0.7,1,8.1,1
T00067,P04809,Mumbai,Hyderabad,48395,6100,0,3,1,0,1,0,0,1,1,0.4,0,628.4,0
T00067,P01828,Mumbai,Bangalore,48395,15000,0,3,2,0,1,0,0,1,0,0.32,0,852.4,0
T00068,P02592,Mumbai,Mumbai,65616,65000,0,2,2,1,1,1,0,1,0,0.8,1,9.0,0
T00068,P02401,Mumbai,Mumbai,65616,65000,0,2,2,1,1,1,0,1,1,0.88,1,4.1,1
T00068,P07124,Mumbai,Bangalore,65616,23600,0,2,2,0,1,1,0,1,0,0.5,0,847.6,0
T00069,P00054,Bangalore,Bangalore,59674,11400,0,2,2,1,1,1,0,1,0,0.8,1,6.1,1
T00069,P01721,Bangalore,Bangalore,59674,18000,0,2,2,1,1,1,0,1,1,0.88,1,6.3,1
T00069,P07434,Bangalore,Bangalore,59674,19500,0,2,2,1,1,1,0,1,1,0.88,1,11.5,1
T00070,P08202,Chennai,Chennai,84151,20700,0,1,2,1,1,1,0,1,0,0.8,1,3.2,1
T00070,P04316,Chennai,Chennai,84151,14000,0,1,2,1,1,1,0,1,1,0.88,1,3.1,1
T00070,P01041,Chennai,Chennai,84151,5000,0,1,1,1,1,1,0,1,1,0.88,1,6.3,0
T00071,P08318,Mumbai,Bangalore,87280,4800,0,2,1,0,1,0,0,1,0,0.32,0,848.6,0
T00071,P02928,Mumbai,Chennai,87280,8500,0,2,2,0,1,1,0,1,1,0.58,0,1040.1,0
T00071,P00161,Mumbai,Mumbai,87280,83000,0,2,3,1,1,1,0,1,1,0.88,1,5.0,1
T00072,P01744,Mumbai,Chennai,75328,6200,0,1,1,0,1,1,0,1,0,0.5,0,1037.5,0
T00072,P00321,Mumbai,Mumbai,75328,60000,0,1,2,1,1,1,0,1,1,0.88,1,11.9,0
T00072,P04890,Mumbai,Chennai,75328,5000,0,1,1,0,1,1,0,1,1,0.58,0,1038.9,0
T00073,P09978,Delhi,Chennai,42628,18600,0,1,3,0,1,1,0,1,1,0.58,0,1761.9,0
T00073,P08318,Delhi,Bangalore,42628,4800,0,1,1,0,1,1,0,1,1,0.58,0,1743.0,0
T00073,P00441,Delhi,Delhi,42628,12000,0,1,2,1,1,1,0,1,1,0.88,1,10.8,1
T00074,P06761,Delhi,Delhi,18183,14300,0,2,2,1,1,1,0,1,1,0.88,1,5.9,1
T00074,P03259,Delhi,Chennai,18183,25000,6817.0,2,3,0,0,1,0,1,0,0.28,0,1756.2,0
T00074,P02505,Delhi,Delhi,18183,7000,0,2,2,1,1,1,0,1,1,0.88,1,4.1,1
T00075,P02647,Bangalore,Mumbai,74948,75000,52.0,3,3,0,0,1,0,1,0,0.28,0,850.4,0
T00075,P06127,Bangalore,Mumbai,74948,63100,0,3,2,0,1,0,0,1,1,0.4,0,849.9,0
T00075,P00721,Bangalore,Bangalore,74948,35000,0,3,3,1,1,1,0,1,1,0.88,1,4.0,1
T00076,P08838,Kolkata,Hyderabad,25613,7500,0,2,2,0,1,1,0,1,0,0.5,0,1187.0,0
T00076,P08690,Kolkata,Bangalore,25613,20900,0,2,2,0,1,1,0,1,0,0.5,0,1567.7,0
T00076,P01561,Kolkata,Kolkata,25613,9000,0,2,2,1,1,1,0,1,1,0.88,1,6.6,0
T00077,P01521,Chennai,Chennai,60235,19000,0,2,2,1,1,1,0,1,1,0.88,1,12.0,1
T00077,P09814,Chennai,Bangalore,60235,5500,0,2,1,0,1,0,0,1,1,0.4,0,296.0,0
T00077,P00010,Chennai,Bangalore,60235,16000,0,2,2,0,1,1,0,1,0,0.5,0,296.6,0
T00078,P08006,Hyderabad,Chennai,27350,125900,98550.0,2,3,0,0,1,0,0,0,0.18,0,521.2,0
T00078,P02161,Hyderabad,Hyderabad,27350,8000,0,2,2,1,1,1,0,1,1,0.88,1,4.3,1
T00078,P05311,Hyderabad,Delhi,27350,34500,7150.0,2,3,0,0,1,0,0,0,0.18,0,1258.2,0
T00079,P01833,Mumbai,Mumbai,71789,47000,0,2,2,1,1,1,0,1,1,0.88,1,7.5,1
T00079,P00320,Mumbai,Delhi,71789,15000,0,2,4,0,1,1,0,0,0,0.4,0,1147.9,0
T00079,P04601,Mumbai,Mumbai,71789,44000,0,2,2,1,1,1,0,1,1,0.88,1,2.1,1
T00080,P05948,Delhi,Mumbai,30631,195800,165169.0,1,2,0,0,1,0,1,0,0.28,0,1147.5,0
T00080,P05039,Delhi,Bangalore,30631,10900,0,1,1,0,1,1,0,1,1,0.58,0,1745.3,0
T00080,P00121,Delhi,Delhi,30631,20000,0,1,2,1,1,1,0,1,1,0.88,1,10.0,0
T00081,P03924,Mumbai,Delhi,90992,45000,0,2,3,0,1,1,0,1,0,0.5,0,1153.5,0
T00081,P00950,Mumbai,Kolkata,90992,15000,0,2,2,0,1,1,0,1,1,0.58,0,1656.9,0
T00081,P00161,Mumbai,Mumbai,90992,83000,0,2,3,1,1,1,0,1,1,0.88,1,5.4,1
T00082,P01521,Chennai,Chennai,24854,19000,0,2,2,1,1,1,0,1,1,0.88,1,2.9,0
